"date","communication","utilities","development","entertainment","uncategorized","learning","design","news","undefined","business","shopping","social"
"2021-09-12T14:00:00",218,257,,53,526,148,509,306,,3,,372
"2021-09-12T15:00:00",95,19,,7,1396,21,46,1004,,5,,766
"2021-09-12T16:00:00",,315,,964,7,,,,,4,,
"2021-09-12T17:00:00",14,20,,57,2,,,,,,,
"2021-09-12T19:00:00",9,134,43,8,1122,331,,,,551,3,851
"2021-09-12T20:00:00",,,,,7,19,,,,,,10
"2021-09-12T21:00:00",203,254,58,1790,261,160,,,,,,716
"2021-09-12T22:00:00",818,316,438,,753,143,12,,,,,1100
"2021-09-12T23:00:00",81,,27,2,385,62,,,,,,288
"2021-09-13T08:00:00",34,449,190,40,253,49,,,,523,,
"2021-09-13T09:00:00",792,269,208,1763,134,42,,,,49,,
"2021-09-13T10:00:00",332,449,1797,6,525,,,,,1870,,
"2021-09-13T11:00:00",158,370,2057,,292,,,,,633,,
"2021-09-13T12:00:00",,197,745,,759,,,,,1097,,
"2021-09-13T13:00:00",,480,759,,361,120,34,,,1617,,61
"2021-09-13T14:00:00",12,17,4,32,2542,268,,,,131,,
"2021-09-13T15:00:00",66,82,,,54,102,56,55,,,,
"2021-09-13T16:00:00",717,19,178,22,1217,508,256,657,,6,,
"2021-09-13T17:00:00",,81,,,33,510,,361,,2,,
"2021-09-13T18:00:00",140,126,898,3,316,2,,,,106,,
"2021-09-13T19:00:00",605,10,78,,3,49,,,,4,,
"2021-09-13T20:00:00",64,73,1746,,79,110,,,,1242,,
"2021-09-13T21:00:00",141,40,690,225,2,94,,,,,175,
"2021-09-13T22:00:00",272,52,,1277,,546,,,,,,
"2021-09-14T08:00:00",63,93,28,42,445,481,,,,,671,
"2021-09-14T09:00:00",277,47,14,297,1094,718,,49,,4,1051,
"2021-09-14T10:00:00",1068,312,223,,1474,135,26,3,,7,168,142
"2021-09-14T11:00:00",502,129,2515,16,32,320,,,,48,,
"2021-09-14T12:00:00",16,55,2519,5,,5,,,,24,,
"2021-09-14T13:00:00",242,101,988,2202,9,35,,,,,,
"2021-09-14T14:00:00",54,482,1462,1068,,29,,,,78,,
"2021-09-14T16:00:00",522,93,214,,939,796,,,,65,48,
"2021-09-14T17:00:00",183,21,922,95,43,110,,,,64,,
"2021-09-14T19:00:00",810,115,1557,7,42,47,,,,57,,
"2021-09-14T20:00:00",1520,247,382,319,174,54,156,,,,,
"2021-09-14T21:00:00",715,426,193,1238,435,26,,,,17,,136
