"date","development","business","communication","utilities","uncategorized","news","entertainment","learning","focus","design","shopping","social","personal"
"2022-09-21T18:00:00",,,68,96,,,,,,,,,
"2022-09-21T19:00:00",451,,1184,82,33,54,1457,7,,,,,
"2022-09-21T20:00:00",1083,,159,22,,,168,,,,,,
"2022-09-21T21:00:00",1015,,200,31,52,,839,29,,,,,
"2022-09-21T22:00:00",2815,,168,36,347,,31,11,,,,,
"2022-09-21T23:00:00",3391,,118,16,,,27,23,,,,,
"2022-09-22T00:00:00",2428,4,130,244,392,,209,63,,,,17,
"2022-09-22T01:00:00",142,,,27,377,,1524,,,,,,
"2022-09-22T02:00:00",8,,,41,,,4,,,,,,
"2022-09-22T19:00:00",104,,725,153,153,,,6,,,,,
"2022-09-22T20:00:00",184,1,1702,95,113,180,1246,9,,,,59,
"2022-09-22T21:00:00",218,,239,88,8,,1837,266,,,,,
"2022-09-23T09:00:00",18,,146,722,5,,174,,,,,,
"2022-09-23T10:00:00",36,,237,560,5,,2479,,,,,,
"2022-09-23T11:00:00",121,,290,291,,,2857,,,,,,
"2022-09-23T12:00:00",86,,47,,,,755,,,,,,
"2022-09-23T13:00:00",,,,83,29,,858,219,,,,40,
"2022-09-23T14:00:00",,,282,,,,3315,,,,,,
"2022-09-23T15:00:00",29,,509,53,2,,2109,18,,,,,
"2022-09-23T16:00:00",407,,130,,,,2172,,,,,,
"2022-09-23T17:00:00",16,,702,103,,,2047,9,,,,,
"2022-09-23T18:00:00",2135,,810,177,415,,9,2,,,,,
"2022-09-23T19:00:00",2015,,218,366,36,,941,,,,,,
"2022-09-23T20:00:00",6,,555,278,21,,2,,,,,8,
"2022-09-23T21:00:00",43,,68,274,7,,2896,,,,,1,
"2022-09-23T22:00:00",41,,637,155,,,2447,,,,,,
"2022-09-23T23:00:00",50,,188,,,,3270,,,,,,
"2022-09-24T00:00:00",127,,1054,262,2,,1090,,,,,,
"2022-09-24T01:00:00",94,,1021,68,38,,975,12,,,,232,
"2022-09-24T02:00:00",,,1440,208,1168,,,736,,,,,
"2022-09-24T03:00:00",,,5,14,438,,108,348,,,,1077,
"2022-09-24T09:00:00",,,70,106,1003,,1047,109,,,,,
"2022-09-24T10:00:00",541,,358,295,613,,1202,3,57,,,,
"2022-09-24T11:00:00",288,,30,92,14,,1313,188,1621,,,,
"2022-09-24T12:00:00",549,,29,221,32,,2005,26,16,,,,
"2022-09-24T13:00:00",280,,66,328,194,,1057,134,7,1303,,,
"2022-09-24T14:00:00",413,,128,141,10,67,1803,92,,264,,,
"2022-09-24T15:00:00",737,,96,115,22,12,2269,89,83,92,,,
"2022-09-24T16:00:00",,,,,,,67,237,,,,,
"2022-09-24T17:00:00",566,,351,164,27,,735,393,105,,,,
"2022-09-24T18:00:00",29,,123,42,,,1197,35,313,,,,
"2022-09-24T19:00:00",187,,782,102,1022,102,37,721,,,,,
"2022-09-24T20:00:00",63,,128,108,265,8,1483,694,10,,,,
"2022-09-24T21:00:00",1,,,,1,,11,,,,,,
"2022-09-24T22:00:00",70,,59,74,12,,1758,5,89,,,136,
"2022-09-24T23:00:00",,,2092,89,986,,62,322,,,,,13
"2022-09-25T00:00:00",188,19,893,27,1956,,,467,,,,1,2
"2022-09-25T01:00:00",312,101,465,1100,8,,1207,,2,,,,
"2022-09-25T02:00:00",,,,1052,,,,,,,,,
"2022-09-25T12:00:00",,,,2793,128,,228,24,,,110,,
"2022-09-25T13:00:00",,,,1129,35,,,,,,3,,
"2022-09-25T14:00:00",,,,1218,,,,,,,,,
"2022-09-25T22:00:00",,,173,70,352,,348,,,,2,,
"2022-09-25T23:00:00",,,645,129,263,,697,10,,,,,
"2022-09-26T00:00:00",456,,43,1267,11,,1271,,,,,289,
"2022-09-26T01:00:00",375,,241,1032,1,,1185,,,,,56,
"2022-09-26T02:00:00",229,,,161,,166,2788,,,,,,
"2022-09-26T03:00:00",83,,,910,,,307,,,,,,
