"date","communication","entertainment","development","learning","uncategorized","utilities","social","shopping","news","business","design"
"2020-09-14T14:00:00",474,936,907,31,81,1043,,,,829,
"2020-09-14T15:00:00",1880,1760,48,,38,7,,,,15,
"2020-09-14T16:00:00",1654,1111,241,232,163,193,,251,,4,
"2020-09-14T17:00:00",2190,2,499,342,246,379,149,,,71,7
"2020-09-14T18:00:00",716,,1518,970,11,262,,,,50,
"2020-09-14T19:00:00",458,1902,159,413,151,583,39,,,86,
"2020-09-14T20:00:00",868,1418,66,16,,110,1128,,,,
"2020-09-14T21:00:00",2446,,586,314,31,92,,,,179,388
"2020-09-14T22:00:00",3341,,10,15,28,51,10,,,106,265
"2020-09-14T23:00:00",819,,83,140,1077,169,508,,,142,849
"2020-09-15T00:00:00",57,1222,,28,535,18,1660,,,56,11
"2020-09-15T01:00:00",152,13,99,,980,20,,,,40,
"2020-09-15T08:00:00",278,633,222,5,30,281,,,,170,
"2020-09-15T09:00:00",111,3329,22,5,102,158,,,,340,
"2020-09-15T10:00:00",,,1670,128,499,138,,,,1191,
"2020-09-15T11:00:00",211,,2205,251,293,257,,,,291,
"2020-09-15T12:00:00",116,,1766,340,283,93,995,,39,,
"2020-09-15T13:00:00",140,1181,774,2,545,225,777,,,1095,
"2020-09-15T14:00:00",148,,480,59,527,176,,65,22,1908,
"2020-09-15T15:00:00",345,,589,223,1707,204,,,14,255,
"2020-09-15T16:00:00",1620,1019,402,44,309,387,,,,182,
"2020-09-15T17:00:00",1065,476,328,220,,419,319,,11,24,72
"2020-09-15T18:00:00",,61,,,,16,,,,,
"2020-09-15T19:00:00",177,1458,1148,48,87,89,1664,,5,,
"2020-09-15T20:00:00",690,,405,146,97,457,39,,,,
"2020-09-15T21:00:00",177,73,2208,45,455,135,635,,,,
"2020-09-15T22:00:00",729,4,187,72,1093,28,,,,2,
"2020-09-15T23:00:00",1205,329,742,425,473,228,129,139,,12,9
"2020-09-16T00:00:00",735,2363,27,,,9,,,6,31,18
"2020-09-16T01:00:00",,1444,39,70,460,181,,,329,666,
"2020-09-16T08:00:00",43,,41,,105,357,,,,109,
"2020-09-16T09:00:00",337,942,286,354,101,1196,,168,14,358,
"2020-09-16T10:00:00",533,8,1068,275,1040,185,,,101,1624,
"2020-09-16T11:00:00",393,,1487,579,453,108,,,,192,149
"2020-09-16T12:00:00",196,,1577,48,104,63,,,,1024,
"2020-09-16T13:00:00",819,,626,92,520,36,,,,1581,
"2020-09-16T14:00:00",238,2648,,,280,4,,,,45,
"2020-09-16T15:00:00",285,1449,349,106,841,282,,,,109,
"2020-09-16T16:00:00",268,20,2049,2,52,498,,,,,
"2020-09-16T17:00:00",421,424,1388,21,252,455,,,,92,
"2020-09-16T18:00:00",131,2666,16,7,301,161,452,,,70,
"2020-09-16T19:00:00",254,2132,695,15,474,82,83,,,2,
"2020-09-16T20:00:00",2735,,758,53,9,22,,,,,
